
"{'val_loss': 0.2800858464768734, 'val_acc': 0.8842273180458624, 'loss': 0.4695547721151474, 'acc': 0.7690636, 'val_aupr': 0.9442487663719396, 'val_auc': 0.9535269183752066, 'val_f1': 0.8870384061636639, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 1}"
"{'val_loss': 0.18324116688841957, 'val_acc': 0.9331206380857427, 'loss': 0.21405291530569082, 'acc': 0.91738456, 'val_aupr': 0.9750054391027827, 'val_auc': 0.9802980957850465, 'val_f1': 0.9341810903096668, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 2}"
"{'val_loss': 0.16007153071945948, 'val_acc': 0.9475174476570289, 'loss': 0.1438950681903673, 'acc': 0.9491206, 'val_aupr': 0.9798517896600025, 'val_auc': 0.9854017034393854, 'val_f1': 0.9483232545354591, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 3}"
"{'val_loss': 0.14015877916235273, 'val_acc': 0.9560917248255234, 'loss': 0.10692805368321036, 'acc': 0.96354294, 'val_aupr': 0.982925988156259, 'val_auc': 0.9883394915399072, 'val_f1': 0.9566893513237087, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 4}"
"{'val_loss': 0.13329770684836512, 'val_acc': 0.9585244267198405, 'loss': 0.08587017197652497, 'acc': 0.9714096, 'val_aupr': 0.987116983822141, 'val_auc': 0.9901923960929561, 'val_f1': 0.9590067008277493, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 5}"
"{'val_loss': 0.13946852413215047, 'val_acc': 0.9581655034895314, 'loss': 0.07168350250415562, 'acc': 0.9763899, 'val_aupr': 0.9863942450062477, 'val_auc': 0.9897631797233218, 'val_f1': 0.9586438005125172, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 6}"
"{'val_loss': 0.13936458719870148, 'val_acc': 0.9581655034895314, 'loss': 0.06228538983707043, 'acc': 0.97967017, 'val_aupr': 0.9864656748706156, 'val_auc': 0.9900221778649938, 'val_f1': 0.9584570908082847, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 7}"
"{'val_loss': 0.13382889205948306, 'val_acc': 0.9604785643070788, 'loss': 0.05356695328394819, 'acc': 0.9821977, 'val_aupr': 0.9882086543774801, 'val_auc': 0.9908173576990628, 'val_f1': 0.9608377790950405, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 8}"
"{'val_loss': 0.1338095681480729, 'val_acc': 0.9611565304087737, 'loss': 0.04463217711502393, 'acc': 0.9856973, 'val_aupr': 0.9881980637668133, 'val_auc': 0.9911320890140816, 'val_f1': 0.9615930599369085, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 9}"
"{'val_loss': 0.13556625949272724, 'val_acc': 0.9619940179461615, 'loss': 0.03904950034083995, 'acc': 0.9875269, 'val_aupr': 0.988215339640484, 'val_auc': 0.9910821324198569, 'val_f1': 0.9625260508827809, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 10}"
"{'val_loss': 0.1351640180662527, 'val_acc': 0.9623529411764706, 'loss': 0.03470855766188692, 'acc': 0.9892867, 'val_aupr': 0.9870838253828953, 'val_auc': 0.9909745977096143, 'val_f1': 0.9628755702375335, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 11}"
"{'val_loss': 0.13898639711401875, 'val_acc': 0.9610767696909273, 'loss': 0.030399881163652866, 'acc': 0.99068755, 'val_aupr': 0.9875990763697016, 'val_auc': 0.990757985535344, 'val_f1': 0.961547553384288, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 12}"
"{'val_loss': 0.14045466939538925, 'val_acc': 0.9618344965104686, 'loss': 0.027043043555036787, 'acc': 0.99203855, 'val_aupr': 0.9873293597436473, 'val_auc': 0.9906283401414687, 'val_f1': 0.9623421083697321, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 13}"
"{'val_loss': 0.1421036533091741, 'val_acc': 0.962073778664008, 'loss': 0.024300181461933308, 'acc': 0.9933447, 'val_aupr': 0.9879609500746712, 'val_auc': 0.9908473252937263, 'val_f1': 0.9625428335105753, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 1, 'epoch_count': 14}"
"{'val_loss': 0.25957812681346076, 'val_acc': 0.8951104729999202, 'loss': 0.4569171084226219, 'acc': 0.776475, 'val_aupr': 0.9564305333044522, 'val_auc': 0.961334058215711, 'val_f1': 0.8964892947103273, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 1}"
"{'val_loss': 0.17143579465586328, 'val_acc': 0.9385419159288506, 'loss': 0.19883541833206256, 'acc': 0.9244398, 'val_aupr': 0.9779415441071833, 'val_auc': 0.982519030945935, 'val_f1': 0.9392182384727646, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 2}"
"{'val_loss': 0.15280882687106356, 'val_acc': 0.9457605487756241, 'loss': 0.13557864157593247, 'acc': 0.9522421, 'val_aupr': 0.9843055633650467, 'val_auc': 0.9872250042428843, 'val_f1': 0.9459802986971719, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 3}"
"{'val_loss': 0.1358812998832009, 'val_acc': 0.9568876126665071, 'loss': 0.1060492535464865, 'acc': 0.96351355, 'val_aupr': 0.9859833492820714, 'val_auc': 0.9897709637844586, 'val_f1': 0.9573822195939286, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 4}"
"{'val_loss': 0.12452770635287157, 'val_acc': 0.9586823003908431, 'loss': 0.08503425336844746, 'acc': 0.9714549, 'val_aupr': 0.9877023252562644, 'val_auc': 0.9911673347386678, 'val_f1': 0.9590060145615701, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 5}"
"{'val_loss': 0.12857961366493145, 'val_acc': 0.9598787588737338, 'loss': 0.07159327161526341, 'acc': 0.9761908, 'val_aupr': 0.988014426374262, 'val_auc': 0.991200033974885, 'val_f1': 0.9604404246952417, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 6}"
"{'val_loss': 0.11994332269748129, 'val_acc': 0.9641062455132807, 'loss': 0.06385002929265372, 'acc': 0.97917694, 'val_aupr': 0.9891031089653524, 'val_auc': 0.9921316106879007, 'val_f1': 0.9644381223328591, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 7}"
"{'val_loss': 0.12874950774241609, 'val_acc': 0.9618329743957885, 'loss': 0.05489513464005526, 'acc': 0.982193, 'val_aupr': 0.9887287122200987, 'val_auc': 0.9915179568242198, 'val_f1': 0.9620132576509348, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 8}"
"{'val_loss': 0.12425670992231515, 'val_acc': 0.9641461274627103, 'loss': 0.04758884902662706, 'acc': 0.9848002, 'val_aupr': 0.9885212207449894, 'val_auc': 0.992017231756274, 'val_f1': 0.9645406855204514, 'dataset': 'our', 'aggregator_type': 'single', 'kfold': 2, 'epoch_count': 9}"
